time,position_x,position_y,position_z,camera_rotation_00,camera_rotation_01,camera_rotation_02,camera_rotation_10,camera_rotation_11,camera_rotation_12,camera_rotation_20,camera_rotation_21,camera_rotation_22
0.16,-29136.372,-120452.477,27228.236,0.475744,-0.878853,0.035838,0.876370,0.477092,0.066017,-0.075117,0.000000,0.997175
0.32,25320.100,-20137.924,18629.846,-0.497978,-0.865865,0.047909,0.861886,-0.500278,-0.082920,0.095765,0.000000,0.995404
0.50,-11939.591,44350.004,25795.171,0.222911,0.966235,0.129231,-0.835917,0.257663,-0.484616,-0.501550,0.000000,0.865128
0.65,-29136.372,1358.052,42991.952,0.554700,0.000000,0.832050,0.000000,1.000000,0.000000,-0.832050,0.000000,0.554700
0.82,-50632.348,1358.052,64487.927,0.613941,0.000000,0.789352,0.000000,1.000000,0.000000,-0.789352,0.000000,0.613941
1.00,-64962.998,1358.052,100314.554,0.540758,0.000000,0.841178,0.000000,1.000000,0.000000,-0.841178,0.000000,0.540758
